userID,ID,userName,Email,Password,PasswordFlag,Role,Position,Department,PhoneNumber,Created_At,Updated_At
100011,13,Ganesh,Ganesh@gmail.com,$2b$10$sqieUoJpgQqP2rgliOxZfeGxzKbC4/HjWzEyXMELTmeariEOLj9pi,0,Admin,Service,Power-Electrical,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100012,14,Sriram,Sriram@gmail.com,$2b$10$FZDgDn5LL66HOvEqOEe77OBYUtGSc1UzyTWao.ZhHoRER6.9M1IBS,0,Admin,Service,Ac-Maintenance,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100013,15,Rithesh,Rithesh@gmail.com,$2b$10$5NCPa4YPHJKIzWgx82sDoe/p8ZLgcOhHRQKcuVA15rFll2kwL4DDC,0,Admin,Service,Cleaning-Service,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100014,16,Mushraf,Mushraf@gmail.com,$2b$10$.1aIhxcjsAbr8d7mpfjSluRn8qPjE2r7CV1QN9z459l40WhdBKkdi,0,Admin,Service,Transport,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100015,17,Sunil,Sunil@gmail.com,$2b$10$1/oFJJ1MI2HPCqTOfxivFOCZOzjbqkxQszZi31szI7YQ3CA/bzyVq,0,Admin,Maintenance,NULL,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100016,18,Deepak,Deepak@gmail.com,$2b$10$nhF7cMFGpGhYcAk7YXM9HuLlq.n0Cg63x/ee3ENzgBLH5DZ5gXWF6,0,Super-Admin,NULL,NULL,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100017,19,Sanjay,Sanjay@gmail.com,$2b$10$2bVC.S2hP1jPGHnt4frQ3Ovc9RctKPvtxf33jCwBaVRJis0FKx0yu,0,Super-Admin,NULL,NULL,1233456666,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100018,20,Karthik,Karthik@gmail.com,$2b$10$Rjxxwb3BlX5CNYi.74C79uBOb9RGB6qeAIkkzIcNgP/GXRVyXBNra,0,Management,NULL,NULL,1233456677,"2025-03-08 14:55:00","2025-03-08 19:53:02"
100019,21,Karan,Karan@gmail.com,$2b$10$cdkoPYvUDtGGSWr3TtAdSOz.Eb3mBNrjBokp1aFaJRdK7RdkrevJ6,0,Management,NULL,NULL,1233455266,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100020,22,Ashwin,Ashwin@gmail.com,$2b$10$zYkjG3m1ZfffI2/siX7sQ.gNY1lxJ1WysZEdrZ02BKYBrfISdAxUa,0,End-User,NULL,CSE,1233453366,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100021,23,Monish,Monish@gmail.com,$2b$10$lLqgfnKPxc4ranOC.Zg3QOC2dAmdeVu04bEmH10rFltAEUKN9rTy.,0,End-User,NULL,ECE,1233455566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100022,24,Viswa,Viswa@gmail.com,$2b$10$Or0vinCmB4CBJSLLMlYcZOmsDIXfxUWy0rRzNSnCIM7x8.9.N4VpO,0,End-User,NULL,IT,1233456336,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100023,25,Swami,Swami@gmail.com,$2b$10$S.rv5iAY1ht6iQAfZ0JDue27cxSf25CoEQTa2ZDyG3Z6.yO3.4ks.,0,End-User,NULL,CSE,1235534566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100024,26,Ajith,Ajith@gmail.com,$2b$10$tWMbZ9pP3fn.pPjUA2pXxOSYgszVgK65ethvDW/MYeM7BCL0zK8Wm,0,End-User,NULL,MECH,1772334566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100025,27,Vijay,Vijay@gmail.com,$2b$10$Zp1VJFpNFA.bnJINkv9iyuZb3zBSkVjZC.TOPmTiOl1qBG7nfwpPi,0,End-User,NULL,EEE,1277334566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100026,28,Dhanush,Dhanush@gmail.com,$2b$10$9Qph/aXlmNMdQwNXpn/t9uDYC6qI2I.qN8FutPzgKIKXDel0VsFWG,0,End-User,NULL,IT,1992334566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
100027,29,Dhoni,Dhoni@gmail.com,$2b$10$8bP0MbHsx4elmL0tiTm0ru9B3HKtJuMbmdeE2LGWeRPC4jNjknUU2,0,End-User,NULL,ECE,1299334566,"2025-03-08 14:55:00","2025-03-08 19:53:03"
